name,color,long,lat,JP_ID,SEE_KZ,SEE_NAME
Ploetzensee,#ff0000,13.33009705647957,52.543989506153075,8000269626427,8000169626428,Plötzensee
Wummsee,#1a24d6,12.799407780830178,53.18663317442364,800015881113,80001588111,Großer Wummsee
Baalsee ,#98ff00,12.64934677564753,53.2135494030641,80001592239,80001592239,Großer Baalsee
Beetzsee,#0b4a8b,12.607166700604537,52.487831950409934,80001585639,80001585639,Oberer Beetzsee
Liepnitzsee,#ffc82d,13.496440799469571,52.74465268782029,8000169626421,80001696264219,Liepnitzsee
Mellensee,#00ffff,13.410681878964734,52.17062861611675,800015828639,800015828639,Mellensee
Peetschsee,#d63000,13.07633612211855,53.16750687657246,8000158117591,8000158117591,Peetschsee
Werbellinsee,#98ff00,13.709939443907867,52.91951411672295,800016962694439,800016962694439,Werbellinsee
Roofensee,#0b4a8b,13.033463095306152,53.112598201587446,800015815253,800015815253,Roofensee
SeddinerSee,#ffc82d,13.031033960147811,52.27411255201718,800025849421,8000158494219,Großer Seddiner See
PaetzerVordersee,#00ffff,13.653728766846024,52.233631730992876,8000158285819,8000158285819,Pätzer Vordersee
Plagesee,#bf04c2,13.937127069515407,52.88820777144499,80002696268471,800016962684712,Großer Plagesee
RuppinerSee,#ff0000,12.811815056113675,52.89464873174159,80001588359,80001588359,Ruppiner See
SiethenerSee,#00ff00,13.204728644505902,52.29054964738273,80001584923,80001584923,Siethener See
Vielitzsee,#0000ff,12.997730438414008,52.94682293339109,800015882419,80001588245,Vielitzsee
NetzenerSee,#999900,12.70452365174242,52.351448671966835,80001585439,80001585439,Netzener See
RangsdorferSee,#009999,13.405392288473713,52.28797327215473,8000158286839,8000158286839,Rangsdorfer See
Halensee,#ff00ff,13.280953690321065,52.49494630022699,8000658356,8000758356,Halensee
Stechlinsee,#d63000,13.032429184469487,53.14881963524088,800015815219,800015815219,Großer Stechlinsee

